UTM_E,UTM_N,DistBouldEdge,DistMussEdge,Area10m,Perim10m,PerAreaRatio10m,RatioLog,Treatment,Black.goby,Brittlestar,Crab,Green.crab,Hermit.crab,Isopod,Large.shrimp,Lesser.pipefish,Mysid,Other.shrimp,Rock.gunnel,Sand.goby,Seastar,Shortfin.sculpin,Smooth.flatfish,Spider.crab,Spinach.spinach,Straightnosed.pipefish,Three.spined.stickleback,Tiger,Urchin,Herb.snail.ab,Whelk.ab
542570.5412,6171590.98,248.9226908,188.7724435,280.9616699,146.8165664,0.522550163,0.420386668,Natural,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,5
542603.506,6171600.341,216.5490022,157.2129594,223.9379883,159.6903794,0.713100893,0.538305116,Natural,0,0,0,0,0,1,3,0,0,6,1,0,0,0,0,0,0,0,0,0,0,30,1
542677.9821,6171652.025,157.5072666,66.78358528,178.5986328,139.0747843,0.778700162,0.575882851,Natural,0,0,0,1,0,3,0,1,0,6,0,0,2,0,0,0,0,1,0,0,0,40,5
542623.8545,6171599.933,196.2401285,141.6067861,212.9042969,235.4080319,1.10569883,0.744647398,Natural,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,10,2
542602.6919,6171578.771,216.6601387,171.359134,155.9770508,234.9791043,1.506497931,0.918886532,Natural,0,0,0,2,0,1,6,2,0,5,0,0,1,0,1,0,0,0,0,0,0,67,21
542569.7277,6171548.655,247.2034325,215.9192651,82.3918457,154.6568255,1.877088979,1.056779012,Natural,0,0,0,2,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0
542623.4477,6171578.771,195.9077533,155.1798983,254.1660156,193.4147395,0.760977974,0.565869322,Natural,0,0,0,0,0,0,6,0,1,4,0,0,0,0,1,0,0,0,0,0,0,22,12
542699.1445,6171630.049,129.2360767,64.05342712,216.8083496,133.0384437,0.613622326,0.478481544,Natural,0,1,0,1,0,0,1,1,0,8,0,0,2,0,0,0,0,0,0,0,1,31,10
542666.9935,6171578.364,152.3827013,121.4908598,206.4526367,214.2918115,1.037970814,0.711954614,Natural,0,0,0,3,0,0,2,2,0,3,0,0,0,0,0,1,0,1,0,0,0,24,19
542644.203,6171556.387,173.0907465,153.0228399,258.534668,169.1085081,0.654103797,0.50325935,Natural,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,12,0
542633.622,6171546.213,183.2837785,167.6435794,201.463623,210.1172904,1.042953994,0.714396797,Natural,0,0,0,0,0,0,1,0,2,11,0,0,0,0,0,0,0,0,0,0,0,18,5
542719.9004,6171608.073,102.652884,61.64052997,223.7404785,216.2294046,0.966429526,0.676219475,Natural,0,0,0,0,0,2,0,2,0,3,0,0,3,0,0,0,0,0,0,0,0,21,9
542729.2603,6171575.922,90.30011808,74.48710383,256.7050781,163.2022866,0.63575792,0.492106257,Natural,0,0,0,1,0,1,0,0,0,1,0,0,3,0,0,2,0,0,0,0,0,20,6
542771.5855,6171553.946,46.24498253,70.84794333,176.654541,255.2561135,1.4449451,0.894022669,Natural,0,0,0,1,0,3,4,3,0,0,0,0,2,1,0,0,0,0,0,0,0,17,0
542771.1786,6171531.969,47.46436083,92.49632864,162.9230957,122.9862136,0.754872801,0.562396376,Natural,0,0,0,4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,30,14
542791.5274,6171510.806,39.64996285,112.4123934,147.4335938,229.2830677,1.555161628,0.938115481,Natural,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,18
542725.1905,6171448.54,129.1607123,185.1621684,44.71533203,87.96118624,1.967137048,1.087597531,Natural,0,0,0,3,0,0,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,42,4
542802.1084,6171478.655,51.49975988,145.2671941,138.3303223,174.2811126,1.259890888,0.815316532,Natural,0,0,0,0,0,0,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,4,1
542833.8523,6171468.074,27.91491107,162.0063131,114.8823242,167.0976283,1.454511209,0.897927641,Natural,0,0,0,1,0,0,5,1,0,0,0,0,1,0,0,0,0,2,0,0,0,13,1
542874.5496,6171423.307,22.99743352,215.4834995,59.28735352,260.6229193,4.395927696,1.685644539,Natural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,21,2
542698.161,6171587.818,121.2749191,91.27390987,85.64379883,214.2990979,2.502213831,1.253395292,3-years-old,0,0,1,5,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,24
542708.4034,6171576.55,111.0763836,90.34823185,174.7519531,183.2212184,1.048464496,0.717090486,3-years-old,0,0,0,3,0,0,1,3,0,5,0,0,1,0,0,0,0,0,0,0,0,26,4
542687.5765,6171576.55,131.8779904,106.5828563,230.7429199,202.6935533,0.878438885,0.630441052,3-years-old,0,0,0,2,0,1,9,0,0,1,0,0,1,0,0,0,0,1,0,0,0,22,4
542697.4779,6171565.625,121.2386397,105.7082607,235.9194336,204.8666099,0.868375304,0.625069232,3-years-old,1,0,0,0,0,3,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,11,4
542687.2353,6171555.724,130.1309512,119.8946223,281.154541,168.582064,0.599606406,0.469757603,3-years-old,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,6
542697.1368,6171544.797,119.7629698,119.1188766,149.831543,173.2779946,1.156485418,0.768479775,3-years-old,0,0,0,1,0,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,30,2
542729.2308,6171554.357,88.1976342,89.73552328,42.48413086,107.3083541,2.525845579,1.260120288,3-years-old,0,0,0,2,0,0,6,1,0,4,1,0,0,0,1,0,0,1,0,0,0,18,3
542739.4738,6171543.432,77.43651381,92.72628379,51.2644043,106.0348317,2.068390985,1.121153315,3-years-old,0,0,0,0,1,0,2,2,0,9,0,0,0,0,1,0,0,1,0,0,0,8,5
542750.0576,6171532.506,67.94774515,97.81301755,136.3195801,209.8644448,1.539503311,0.931968515,3-years-old,0,0,0,3,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6
542760.6417,6171522.264,60.57215862,104.2164294,115.1291504,110.8133027,0.962512989,0.674225789,3-years-old,0,0,1,1,0,1,7,2,1,1,0,0,1,1,0,0,0,1,0,0,0,30,14
542718.305,6171544.114,98.59656083,104.6198009,93.9621582,194.1650983,2.066418035,1.120510117,3-years-old,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,27,1
542728.5477,6171533.531,89.05691922,106.9096528,43.45605469,142.5412164,3.280123273,1.453981811,3-years-old,1,0,0,1,0,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,16,1
542738.7903,6171522.263,81.27188029,111.7385421,27.95922852,103.786195,3.712055035,1.550124126,3-years-old,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,27,1
542749.7162,6171511.338,75.01712018,117.8008945,3.597900391,21.20029238,5.892406702,1.930420328,3-years-old,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2
542688.6006,6171618.887,135.6861048,79.26427473,103.0874023,138.7928156,1.346360588,0.852865442,3-years-old,1,0,0,0,0,0,6,2,0,2,0,0,0,0,1,0,0,0,0,0,0,11,0
542698.8436,6171608.644,123.2779888,77.69606473,138.1914063,184.98491,1.338613702,0.849558319,3-years-old,0,0,0,1,0,0,7,2,0,1,0,0,2,0,0,0,0,0,0,0,0,14,1
542676.9923,6171609.327,144.8317709,94.30114957,177.1149902,290.73692,1.641515039,0.971352631,3-years-old,0,1,0,1,0,0,6,1,0,3,0,0,3,0,0,0,0,2,0,0,0,21,6
542687.918,6171598.061,132.3186264,92.84215487,168.111084,303.4767526,1.805215607,1.031480401,3-years-old,0,0,0,1,0,0,3,0,0,6,0,0,0,0,0,0,1,1,0,0,0,21,12
542666.7494,6171598.743,153.4313382,108.9156887,255.3164063,229.5925644,0.899247204,0.641457599,3-years-old,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,16,0
542677.3336,6171587.818,142.0853256,107.5089552,186.2492676,308.1987031,1.654764645,0.976356005,3-years-old,0,0,0,0,0,3,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,26,1
542685.9011,6171513.903,134.5732031,148.7491446,87.08642578,134.6512358,1.54617938,0.934593953,Bare,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,7,7
542642.4861,6171471.356,189.2129096,209.4842949,20.3293457,24.30201281,1.195415394,0.786371274,Bare,0,0,1,0,0,0,1,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,3
542751.0433,6171554.777,66.62073925,77.17249267,89.71728516,237.9549611,2.652275541,1.295350409,Bare,0,7,0,1,0,0,0,1,0,11,0,0,1,0,0,0,0,0,0,0,0,8,20
542657.2594,6171652.28,176.4404995,82.77736045,46.27075195,103.0712691,2.22756849,1.171729064,Bare,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,3,4
542684.1646,6171470.922,151.8678847,183.6192776,33.63671875,126.2110401,3.752180499,1.558603565,Bare,0,0,0,1,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,1,3
542792.3578,6171531.641,27.80655146,91.64445649,100.7250977,222.3937166,2.207927535,1.165625101,Bare,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,4,2
542759.7197,6171501.069,71.6920273,125.0395737,39.52075195,99.14014477,2.508559171,1.255205461,Bare,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,1,14
542716.2913,6171460.069,130.3676871,177.6783973,89.12231445,169.3557755,1.900262315,1.064801186,Bare,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,2
542790.7055,6171468.843,65.33198594,154.3261659,12.92797852,41.6366911,3.220665246,1.439992757,Bare,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,16
542758.4043,6171436.625,108.4859288,188.6594103,13.67895508,50.18525539,3.668793055,1.540900592,Bare,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,1
