PointID..G,Latitude,Longitude,UTM_E,UTM_N,DistBouldEdge,DistMussEdge,Area10m,Perim10m,PerAreaRatio10m,RatioLog,Treatment,Black.goby,Brittlestar,Crab,Green.crab,Hermit.crab,Isopod,Baltic.prawn,Lesser.pipefish,Mysid,Crangon.prawn,Rock.gunnel,Sand.goby,Seastar,Shortfin.sculpin,Flatfish,Spider.crab,Spinach.spinach,Straightnosed.pipefish,Three.spined.stickleback,Tiger,Urchin,Periwinkle,Whelk,Richness,Shannon,Simpson,InvSimpson,Evenness,DeltaPlus
9,55.6882469,9.67713739,542570.5412,6171590.98,248.9226908,188.7724435,280.9616699,146.8165664,0.522550163,0.420386668,Natural,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,5,4,0.791033459,0.391581633,1.64360587,0.28246644,78.70741886
18,55.68832811,9.67766315,542603.506,6171600.341,216.5490022,157.2129594,223.9379883,159.6903794,0.713100893,0.538305116,Natural,0,0,0,0,0,1,3,0,0,6,1,0,0,0,0,0,0,0,0,0,0,30,1,6,0.973804972,0.462585034,1.860759494,0.258173623,84.66126856
23,55.68878594,9.67885574,542677.9821,6171652.025,157.5072666,66.78358528,178.5986328,139.0747843,0.778700162,0.575882851,Natural,0,0,0,1,0,3,0,1,0,6,0,0,2,0,0,0,0,1,0,0,0,40,5,8,1.178638194,0.518241885,2.075730471,0.249221666,88.51473029
28,55.68832266,9.67798673,542623.8545,6171599.933,196.2401285,141.6067861,212.9042969,235.4080319,1.10569883,0.744647398,Natural,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,10,2,4,1.213163439,0.662131519,2.959731544,0.47762693,78.70741886
30,55.68813438,9.67764685,542602.6919,6171578.771,216.6601387,171.359134,155.9770508,234.9791043,1.506497931,0.918886532,Natural,0,0,0,2,0,1,6,2,0,5,0,0,1,0,1,0,0,0,0,0,0,67,21,9,1.19910219,0.554823781,2.246301479,0.252511185,86.51133485
33,55.68786669,9.67711788,542569.7277,6171548.655,247.2034325,215.9192651,82.3918457,154.6568255,1.877088979,1.056779012,Natural,0,0,0,2,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,4,0.961597142,0.544444444,2.195121951,0.39273365,61.70362776
40,55.68813256,9.67797697,542623.4477,6171578.771,195.9077533,155.1798983,254.1660156,193.4147395,0.760977974,0.565869322,Natural,0,0,0,0,0,0,6,0,1,4,0,0,0,0,1,0,0,0,0,0,0,22,12,6,1.347825135,0.677693762,3.102639296,0.37822809,84.66126856
45,55.68858663,9.67918891,542699.1445,6171630.049,129.2360767,64.05342712,216.8083496,133.0384437,0.613622326,0.478481544,Natural,0,1,0,1,0,0,1,1,0,8,0,0,2,0,0,0,0,0,0,0,1,31,10,9,1.391400245,0.638392857,2.765432099,0.29054511,89.24438733
60,55.68812508,9.6786695,542666.9935,6171578.364,152.3827013,121.4908598,206.4526367,214.2918115,1.037970814,0.711954614,Natural,0,0,0,3,0,0,2,2,0,3,0,0,0,0,0,1,0,1,0,0,0,24,19,8,1.433116913,0.680991736,3.134715026,0.3274878,78.49193609
62,55.68792962,9.6783036,542644.203,6171556.387,173.0907465,153.0228399,258.534668,169.1085081,0.654103797,0.50325935,Natural,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0.823719732,0.515,2.06185567,0.468773202,82.94575254
63,55.68783914,9.67813373,542633.622,6171546.213,183.2837785,167.6435794,201.463623,210.1172904,1.042953994,0.714396797,Natural,0,0,0,0,0,0,1,0,2,11,0,0,0,0,0,0,0,0,0,0,0,18,5,5,1.236944303,0.65303141,2.882105263,0.405751228,76.99190284
67,55.68838735,9.67951561,542719.9004,6171608.073,102.652884,61.64052997,223.7404785,216.2294046,0.966429526,0.676219475,Natural,0,0,0,0,0,2,0,2,0,3,0,0,3,0,0,0,0,0,0,0,0,21,9,6,1.362023083,0.6575,2.919708029,0.366957737,93.17830102
90,55.68809766,9.67965947,542729.2603,6171575.922,90.30011808,74.48710383,256.7050781,163.2022866,0.63575792,0.492106257,Natural,0,0,0,1,0,1,0,0,0,1,0,0,3,0,0,2,0,0,0,0,0,20,6,7,1.31026248,0.60899654,2.557522124,0.312962312,79.3128951
122,55.68789648,9.68032922,542771.5855,6171553.946,46.24498253,70.84794333,176.654541,255.2561135,1.4449451,0.894022669,Natural,0,0,0,1,0,3,4,3,0,0,0,0,2,1,0,0,0,0,0,0,0,17,0,7,1.444059063,0.657648283,2.920972644,0.337964363,89.04376326
134,55.68769906,9.68031932,542771.1786,6171531.969,47.46436083,92.49632864,162.9230957,122.9862136,0.754872801,0.562396376,Natural,0,0,0,4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,30,14,6,1.097945211,0.571318724,2.332735426,0.318859051,91.48296754
156,55.68750712,9.68063966,542791.5274,6171510.806,39.64996285,112.4123934,147.4335938,229.2830677,1.555161628,0.938115481,Natural,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,18,6,1.141872612,0.610350982,2.566412214,0.340643369,84.66126856
162,55.68695352,9.67957489,542725.1905,6171448.54,129.1607123,185.1621684,44.71533203,87.96118624,1.967137048,1.087597531,Natural,0,0,0,3,0,0,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,42,4,7,1.012268635,0.442597722,1.794036444,0.227450236,79.3128951
179,55.68721732,9.68080293,542802.1084,6171478.655,51.49975988,145.2671941,138.3303223,174.2811126,1.259890888,0.815316532,Natural,0,0,0,0,0,0,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,4,1,5,1.412744637,0.721893491,3.595744681,0.448537645,87.22445131
200,55.68711945,9.68130615,542833.8523,6171468.074,27.91491107,162.0063131,114.8823242,167.0976283,1.454511209,0.897927641,Natural,0,0,0,1,0,0,5,1,0,0,0,0,1,0,0,0,0,2,0,0,0,13,1,7,1.395644432,0.649305556,2.851485149,0.333677049,89.55894918
244,55.68671364,9.68194642,542874.5496,6171423.307,22.99743352,215.4834995,59.28735352,260.6229193,4.395927696,1.685644539,Natural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,21,2,3,0.618977214,0.328402367,1.488986784,0.298924716,82.94575254
1m-01,55.68820728,9.67916669,542698.161,6171587.818,121.2749191,91.27390987,85.64379883,214.2990979,2.502213831,1.253395292,3-years-old,0,0,1,5,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,24,6,1.087250635,0.521604938,2.090322581,0.291113259,81.27060161
1m-02,55.68810514,9.67932784,542708.4034,6171576.55,111.0763836,90.34823185,174.7519531,183.2212184,1.048464496,0.717090486,3-years-old,0,0,0,3,0,0,1,3,0,5,0,0,1,0,0,0,0,0,0,0,0,26,4,7,1.321791959,0.601406165,2.508819539,0.309061632,86.62185829
1m-03,55.68810697,9.67899659,542687.5765,6171576.55,131.8779904,106.5828563,230.7429199,202.6935533,0.878438885,0.630441052,3-years-old,0,0,0,2,0,1,9,0,0,1,0,0,1,0,0,0,0,1,0,0,0,22,4,8,1.403586043,0.649613325,2.853989813,0.312397974,84.48467132
1m-04,55.68800794,9.67915237,542697.4779,6171565.625,121.2386397,105.7082607,235.9194336,204.8666099,0.868375304,0.625069232,3-years-old,1,0,0,0,0,3,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,11,4,7,1.593302824,0.746227709,3.940540541,0.383485183,86.60744219
1m-05,55.68791988,9.67898792,542687.2353,6171555.724,130.1309512,119.8946223,281.154541,168.582064,0.599606406,0.469757603,3-years-old,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,6,5,1.123783185,0.58,2.380952381,0.360374262,71.90590242
1m-06,55.68782084,9.6791437,542697.1368,6171544.797,119.7629698,119.1188766,149.831543,173.2779946,1.156485418,0.768479775,3-years-old,0,0,0,1,0,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,30,2,8,0.976163949,0.399737015,1.665936473,0.19223287,86.30110005
4x9-01,55.68790391,9.67965564,542729.2308,6171554.357,88.1976342,89.73552328,42.48413086,107.3083541,2.525845579,1.260120288,3-years-old,0,0,0,2,0,0,6,1,0,4,1,0,0,0,1,0,0,1,0,0,0,18,3,9,1.637821774,0.712929145,3.48346056,0.324468037,82.54829811
4x9-02,55.68780485,9.67981685,542739.4738,6171543.432,77.43651381,92.72628379,51.2644043,106.0348317,2.068390985,1.121153315,3-years-old,0,0,0,0,1,0,2,2,0,9,0,0,0,0,1,0,0,1,0,0,0,8,5,8,1.738663698,0.784780024,4.64640884,0.377399416,83.04381997
